93646;53;221;50;0
93646;53;1;15;0
93646;53;364;1;0
93646;53;343;1;0
93647;53;221;50;0
93647;53;1;15;0
93647;53;364;1;0
93647;53;343;1;0
93648;53;221;60;0
93648;53;1;15;0
93648;53;364;1;0
93648;53;343;1;0
93649;53;221;60;0
93649;53;1;15;0
93649;53;364;1;0
93649;53;343;1;0
93650;53;221;70;0
93650;53;1;22;0
93650;53;364;1;0
93650;53;343;1;0
93651;53;221;80;0
93651;53;1;23;0
93651;53;364;1;0
93651;53;343;1;0
93652;53;221;90;0
93652;53;1;30;0
93652;53;364;1;0
93652;53;343;1;0
93653;53;221;110;0
93653;53;1;30;0
93653;53;364;1;0
93653;53;343;1;0
93654;53;221;150;0
93654;53;1;30;0
93654;53;364;1;0
93654;53;343;1;0
93655;53;221;280;0
93655;53;1;45;0
93655;53;364;2;0
93655;53;343;2;0
93658;53;379;0;0
93658;53;164;1;0
93658;53;155;2;0
93658;53;153;2;0
93658;53;154;3;0
93658;53;151;4;0
93658;53;113;1;0
93659;190;10141;1380011601;214202
93659;53;379;0;0
93659;53;164;2;0
93659;53;155;3;0
93659;53;153;3;0
93659;53;154;4;0
93659;53;151;5;0
93659;53;113;1;0
93660;53;379;0;0
93660;53;164;2;0
93660;53;155;3;0
93660;53;153;3;0
93660;53;154;4;0
93660;53;151;6;0
93660;53;113;1;0
93661;190;10143;1414091587;226918
93661;53;379;0;0
93661;53;164;3;0
93661;53;155;4;0
93661;53;153;4;0
93661;53;154;5;0
93661;53;151;7;0
93661;53;113;2;0
93662;53;379;1;0
93662;53;164;3;0
93662;53;155;4;0
93662;53;153;4;0
93662;53;154;6;0
93662;53;151;8;0
93662;53;113;2;0
93663;53;379;0;0
93663;53;164;4;0
93663;53;155;5;0
93663;53;153;5;0
93663;53;154;7;0
93663;53;151;9;0
93663;53;113;2;0
93664;190;10146;1128485704;226490
93664;53;379;0;0
93664;53;164;4;0
93664;53;155;5;0
93664;53;153;5;0
93664;53;154;9;0
93664;53;151;10;0
93664;53;113;3;0
93665;53;379;0;0
93665;53;164;5;0
93665;53;155;6;0
93665;53;153;6;0
93665;53;154;11;0
93665;53;151;12;0
93665;53;113;3;0
93666;53;379;0;0
93666;53;164;7;0
93666;53;155;7;0
93666;53;153;7;0
93666;53;154;13;0
93666;53;151;15;0
93666;53;113;4;0
93667;190;10149;1397967182;226496
93667;53;379;1;0
93667;53;164;9;0
93667;53;155;11;0
93667;53;153;11;0
93667;53;154;18;0
93667;53;151;24;0
93667;53;113;6;0
93710;53;1;15;0
93710;53;221;15;0
93710;53;364;1;0
93710;53;343;1;0
93715;53;1;40;0
93716;53;1;80;0
93717;53;1;100;0
93718;53;1;150;0
93719;53;1;230;0
93720;53;1;320;0
93721;53;1;40;0
93722;53;221;80;0
93723;53;221;130;0
93724;53;221;210;0
93725;53;221;290;0
93726;53;221;370;0
93727;53;221;530;0
93728;53;221;80;0
93729;53;117;38;0
93729;53;139;38;0
93729;53;166;38;0
93730;53;117;50;0
93730;53;139;50;0
93730;53;166;50;0
93731;53;117;90;0
93731;53;139;90;0
93731;53;166;90;0
93732;53;117;22;0
93732;53;166;22;0
93732;53;139;22;0
93733;53;319;5;0
93734;53;319;5;0
93735;53;319;6;0
93736;53;319;1;0
93737;170;1003;10;0
93737;170;146;0;0
93737;170;147;15;0
93738;170;1003;20;0
93738;170;146;5;0
93738;170;147;15;0
93739;170;1003;30;0
93739;170;146;20;0
93739;170;147;50;0
93740;170;147;20;0
93741;53;161;10;0
93741;53;181;10;0
93742;53;161;10;0
93742;53;181;11;0
93743;53;161;10;0
93743;53;181;12;0
93744;53;161;10;0
93744;53;181;12;0
93745;53;161;10;0
93745;53;181;15;0
93746;53;161;14;0
93746;53;181;17;0
93747;53;161;16;0
93747;53;181;18;0
93748;53;161;10;0
93748;53;181;10;0
93749;53;221;15;0
93749;53;1;5;0
93750;190;10721;1398034242;241166
93750;53;221;17;0
93750;53;1;7;0
93751;53;221;18;0
93751;53;1;8;0
93752;190;10723;1397772117;241258
93752;53;221;20;0
93752;53;1;10;0
93753;53;221;20;0
93753;53;1;10;0
93754;53;221;20;0
93754;53;1;15;0
93755;53;221;35;0
93755;53;1;25;0
93756;53;221;45;0
93756;53;1;30;0
93757;53;221;45;0
93757;53;1;35;0
93758;53;221;15;0
93758;53;1;5;0
93759;53;282;0;0
93759;53;317;0;0
93759;53;281;0;0
93759;53;311;0;0
93759;53;316;0;0
93759;53;280;0;0
93759;53;278;0;0
93759;53;279;0;0
93759;53;277;0;0
93759;53;134;10;0
93759;53;101;10;0
93760;53;282;0;0
93760;53;317;0;0
93760;53;281;0;0
93760;53;311;0;0
93760;53;316;0;0
93760;53;280;0;0
93760;53;278;0;0
93760;53;279;0;0
93760;53;277;0;0
93760;53;134;15;0
93760;53;101;15;0
93761;53;282;0;0
93761;53;317;0;0
93761;53;281;0;0
93761;53;311;0;0
93761;53;316;0;0
93761;53;280;0;0
93761;53;278;0;0
93761;53;279;0;0
93761;53;277;0;0
93761;53;134;20;0
93761;53;101;20;0
93762;53;282;5;0
93762;53;317;5;0
93762;53;281;5;0
93762;53;311;5;0
93762;53;316;5;0
93762;53;280;5;0
93762;53;278;5;0
93762;53;279;5;0
93762;53;277;0;0
93762;53;134;30;0
93762;53;101;30;0
93763;53;134;10;0
93763;53;101;10;0
93914;53;134;4;0
93914;53;101;4;0
93914;53;155;20;0
93914;53;154;20;0
93914;53;153;20;0
93914;53;17;4;0
93915;190;10111;1279872322;214399
93915;53;134;6;0
93915;53;101;6;0
93915;53;155;35;0
93915;53;154;35;0
93915;53;153;35;0
93915;53;17;6;0
93916;53;134;8;0
93916;53;101;8;0
93916;53;155;55;0
93916;53;154;55;0
93916;53;153;55;0
93916;53;17;8;0
93917;190;10113;1145130822;211453
93917;53;134;12;0
93917;53;101;12;0
93917;53;155;80;0
93917;53;154;80;0
93917;53;153;80;0
93917;53;17;12;0
93918;190;10320;1364542292;225788
93918;53;147;2;0
93918;53;103;10;0
93919;53;147;2;0
93919;53;103;10;0
93920;53;147;3;0
93920;53;103;11;0
93921;190;10323;1464947798;225794
93921;53;147;3;0
93921;53;103;12;0
93922;53;147;4;0
93922;53;103;13;0
93923;53;147;4;0
93923;53;103;15;0
93924;190;10170;1112101705;215568
93924;53;216;0;0
93924;53;208;0;0
93924;53;207;0;0
93924;53;205;0;0
93924;53;217;0;0
93924;53;218;0;0
93924;53;219;0;0
93924;53;225;0;0
93924;53;206;0;0
93924;53;97;40;0
93924;53;96;40;0
93924;53;95;40;0
93924;53;94;40;0
93924;53;93;40;0
93924;53;92;40;0
93924;53;91;40;0
93924;53;90;40;0
93924;53;234;2;0
93924;53;233;2;0
93924;53;232;2;0
93924;53;231;2;0
93924;53;230;2;0
93924;53;229;2;0
93924;53;228;2;0
93924;53;227;2;0
93924;53;226;2;0
93925;53;216;0;0
93925;53;208;0;0
93925;53;207;0;0
93925;53;205;0;0
93925;53;217;0;0
93925;53;218;0;0
93925;53;219;0;0
93925;53;225;0;0
